Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
4294967295	255	255	255	255	255	255	255	10
0								5120
1	500	500	500	500	500	500	500	5120
2	750	750	750	750	750	750	750	5120
3	1000	1000	1000	1000	1000	1000	1000	5120
4	1500	1500	1500	1500	1500	1500	1500	5120
5	2000	2000	2000	2000	2000	2000	2000	5120
6	2625	2625	2625	2625	2625	2625	2625	5120
7	3750	3750	3750	3750	3750	3750	3750	5120
8	5813	5813	5813	5813	5813	5813	5813	5120
9	7875	7875	7875	7875	7875	7875	7875	5120
10	11025	11025	11025	11025	11025	11025	11025	5120
11	14175	14175	14175	14175	14175	14175	14175	5120
12	18428	18428	18428	18428	18428	18428	18428	5120
13	22680	22680	22680	22680	22680	22680	22680	5120
14	27783	27783	27783	27783	27783	27783	27783	5120
15	32886	32886	32886	32886	32886	32886	32886	5120
16	38641	38641	38641	38641	38641	38641	38641	5120
17	44396	44396	44396	44396	44396	44396	44396	5120
18	51056	51056	51056	51056	51056	51056	51056	5120
19	57715	57715	57715	57715	57715	57715	57715	5120
20	64930	64930	64930	64930	64930	64930	64930	5120
21	72144	72144	72144	72144	72144	72144	72144	5120
22	81162	81162	81162	81162	81162	81162	81162	5120
23	90180	90180	90180	90180	90180	90180	90180	5120
24	101453	101453	101453	101453	101453	101453	101453	5120
25	112725	112725	112725	112725	112725	112725	112725	5120
26	126816	126816	126816	126816	126816	126816	126816	5120
27	140906	140906	140906	140906	140906	140906	140906	5120
28	158519	158519	158519	158519	158519	158519	158519	5120
29	176132	176132	176132	176132	176132	176132	176132	5120
30	198149	198149	198149	198149	198149	198149	198149	5120
31	220165	220165	220165	220165	220165	220165	220165	5120
32	247686	247686	247686	247686	247686	247686	247686	5120
33	275207	275207	275207	275207	275207	275207	275207	5120
34	309608	309608	309608	309608	309608	309608	309608	5120
35	344008	344008	344008	344008	344008	344008	344008	5120
36	387009	387009	387009	387009	387009	387009	387009	5120
37	430010	430010	430010	430010	430010	430010	430010	5120
38	483762	483762	483762	483762	483762	483762	483762	5120
39	537513	537513	537513	537513	537513	537513	537513	5120
40	604702	604702	604702	604702	604702	604702	604702	5120
41	671891	671891	671891	671891	671891	671891	671891	5120
42	755878	755878	755878	755878	755878	755878	755878	5120
43	839864	839864	839864	839864	839864	839864	839864	5120
44	944847	944847	944847	944847	944847	944847	944847	5120
45	1049830	1049830	1049830	1049830	1049830	1049830	1049830	5120
46	1181059	1181059	1181059	1181059	1181059	1181059	1181059	5120
47	1312287	1312287	1312287	1312287	1312287	1312287	1312287	5120
48	1476323	1476323	1476323	1476323	1476323	1476323	1476323	5120
49	1640359	1640359	1640359	1640359	1640359	1640359	1640359	5120
50	1845404	1845404	1845404	1845404	1845404	1845404	1845404	5120
51	2050449	2050449	2050449	2050449	2050449	2050449	2050449	512
52	2306755	2306755	2306755	2306755	2306755	2306755	2306755	512
53	2563061	2563061	2563061	2563061	2563061	2563061	2563061	512
54	2883444	2883444	2883444	2883444	2883444	2883444	2883444	512
55	3203826	3203826	3203826	3203826	3203826	3203826	3203826	512
56	3553043	3553043	3553043	3553043	3553043	3553043	3553043	512
57	3902260	3902260	3902260	3902260	3902260	3902260	3902260	512
58	4282907	4282907	4282907	4282907	4282907	4282907	4282907	512
59	4663553	4663553	4663553	4663553	4663553	4663553	4663553	512
60	5078458	5078458	5078458	5078458	5078458	5078458	5078458	512
61	5493363	5493363	5493363	5493363	5493363	5493363	5493363	512
62	5945609	5945609	5945609	5945609	5945609	5945609	5945609	512
63	6397855	6397855	6397855	6397855	6397855	6397855	6397855	512
64	6890804	6890804	6890804	6890804	6890804	6890804	6890804	512
65	7383752	7383752	7383752	7383752	7383752	7383752	7383752	512
66	7921066	7921066	7921066	7921066	7921066	7921066	7921066	512
67	8458379	8458379	8458379	8458379	8458379	8458379	8458379	512
68	9044051	9044051	9044051	9044051	9044051	9044051	9044051	512
69	9629723	9629723	9629723	9629723	9629723	9629723	9629723	512
70	10268106	10268106	10268106	10268106	10268106	10268106	10268106	512
71	10906488	10906488	10906488	10906488	10906488	10906488	10906488	512
72	11602325	11602325	11602325	11602325	11602325	11602325	11602325	512
73	12298162	12298162	12298162	12298162	12298162	12298162	12298162	512
74	13056624	13056624	13056624	13056624	13056624	13056624	13056624	512
75	13815086	13815086	13815086	13815086	13815086	13815086	13815086	512
76	14641810	14641810	14641810	14641810	14641810	14641810	14641810	512
77	15468534	15468534	15468534	15468534	15468534	15468534	15468534	512
78	16369663	16369663	16369663	16369663	16369663	16369663	16369663	512
79	17270791	17270791	17270791	17270791	17270791	17270791	17270791	512
80	18253022	18253022	18253022	18253022	18253022	18253022	18253022	512
81	19235252	19235252	19235252	19235252	19235252	19235252	19235252	512
82	20305884	20305884	20305884	20305884	20305884	20305884	20305884	512
83	21376515	21376515	21376515	21376515	21376515	21376515	21376515	512
84	22543503	22543503	22543503	22543503	22543503	22543503	22543503	512
85	23710491	23710491	23710491	23710491	23710491	23710491	23710491	512
86	24982508	24982508	24982508	24982508	24982508	24982508	24982508	512
87	26254525	26254525	26254525	26254525	26254525	26254525	26254525	512
88	27641024	27641024	27641024	27641024	27641024	27641024	27641024	64
89	29027522	29027522	29027522	29027522	29027522	29027522	29027522	16
90	30538805	30538805	30538805	30538805	30538805	30538805	30538805	4
91	32050088	32050088	32050088	32050088	32050088	32050088	32050088	4
92	33697387	33697387	33697387	33697387	33697387	33697387	33697387	4
93	35344686	35344686	35344686	35344686	35344686	35344686	35344686	4
94	37140242	37140242	37140242	37140242	37140242	37140242	37140242	4
95	38935798	38935798	38935798	38935798	38935798	38935798	38935798	4
96	40892954	40892954	40892954	40892954	40892954	40892954	40892954	4
97	41000000	41000000	41000000	41000000	41000000	41000000	41000000	4
98	41500000	41500000	41500000	41500000	41500000	41500000	41500000	4
99	47116709	47116709	47116709	47116709	47116709	47116709	47116709	4
100	51000000	51000000	51000000	51000000	51000000	51000000	51000000	4
101	51767302	51767302	51767302	51767302	51767302	51767302	51767302	4
102	54301876	54301876	54301876	54301876	54301876	54301876	54301876	4
103	56836449	56836449	56836449	56836449	56836449	56836449	56836449	4
104	59599134	59599134	59599134	59599134	59599134	59599134	59599134	4
105	62361819	62361819	62361819	62361819	62361819	62361819	62361819	4
106	65373146	65373146	65373146	65373146	65373146	65373146	65373146	4
107	68384473	68384473	68384473	68384473	68384473	68384473	68384473	4
108	71666819	71666819	71666819	71666819	71666819	71666819	71666819	4
109	74949165	74949165	74949165	74949165	74949165	74949165	74949165	4
