class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
iv0	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv1	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv2	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv3	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv4	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv5		321		442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv6		321		219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv7		321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv8		500		808	10	4	-26	144	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv9	-200	330	-200	768	16	16	-169	295	-123	335	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv10		321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv11		321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
iv12	-200	330	-113	800	16	16	-168	295	-37	424	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv13	-1	-1	-1	-1			-1	-1	-1	-1	29	29	17	76	5	120	59	115	132	189	70	150	56	82	248	307	5	120	59	115	132	191	3	59	59	56	205	234	33	62	29	30	91	120	122	152	29	30	205	234	122	152	29	30	132	191	151	178	59	27	248	307	122	177	59	55	17	76	122	177	59	55
iv14	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv15	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv16	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv17	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv18	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv19	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv20	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	58	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	-42	-13	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv21	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv22	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv23	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv24		500		808	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv25	-200	330	-200	768	16	16	-169	295	-123	335	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv26	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv27	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv28	-200	330	-113	800	16	16	-168	295	-37	424	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	97	156	65	180	59	115	132	189	70	150	56	82	328	387	65	180	59	115	212	271	63	119	59	56	205	234	33	62	29	30	91	120	122	152	29	30	205	234	122	152	29	30	212	271	211	238	59	27	328	387	182	237	59	55	97	156	182	237	54	53
iv30	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	56	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	48	77	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
iv31	300	1024	-152	768	16	15	344	803	81	513	29	29	362	421	-45	70	59	115	544	602	-54	33	56	87	731	790	-46	69	59	115	546	604	-129	-67	62	58	636	667	-94	-67	29	29	487	516	-42	-13	29	29	638	677	48	77	29	29	546	604	48	77	58	29	641	699	19	77	58	58	452	510	16	74	58	58
