Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is0		1		32			1		10			1	1		125	55	1024		7	32	8	32																	67	1	1	ModStr1a	ModStr1a		1	1	1	Moditem2allattrib	Moditem2allattrib		6	0
is1	1			32			1		10			1	1		100	55	1024		7	32	7	32			8			is9											61	1	1	ModStr1d	ModStr1d		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is2	2	1		32			1		10			1	1		125	55	1024		7	32	7	32																	65	1	1	ModStr1b	ModStr1b		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is3	3			32			1		32			1	1		100	55	1024		7	32	32	32			9			is7	is11										63	1	1	ModStr1c	ModStr1c		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is4	4			32			1		11								1024																																			0
is5	5			32			1		10								1024																																			0
is6	6			32			1		32								1024	8													1	is7																				0
is7	7			32			1		32		1	1	1		56	20	1024	8	8	32	32	32																	59	1	1	ModStr1u	ModStr1u									0
is8	8			32			1		32								1024	8						1							1	is9																				0
is9	9			32			1		21		1	1			81	20	1024	8	8	32	14	32																	55	1	1	ModStr1e	ModStr1e									0
is10	10			32			1		32								1024	8						1							1	is11																				0
is11	11			32			1		21		1	1			75	20	1024	8	8	32	8	32																	51	1	1	ModStr5d	ModStr5d									0
is12	12			32			1		8								1024																																			0
is13	13			32			1		32								1024																																			0
is14	14			32			1		32								1024																																			0
is15	15			32			1		32								1024																																			0
is16	16		1	32											47	20	1024		9		9				13			is31											74	4	1	Modstr2v	Modstr2v									0
is17	17		1	32											45	20	1024		9		12				13			is22	is24	is160				1					129	3		ModStr2j	ModStr2j									0
is18	18		1	32											45	20	1024		9		12				13			is21	is23	is159				1					130	3		ModStr2k	ModStr2k									0
is19	19		1	32											15	10	1024		10		10													1					115	1	1	ModStr1h	ModStr1h									0
is20	20		1	32											89	204	1024		6		6																		134	2	1	ModStr3g	ModStr3g									0
is21	21		1	32											122	25	1024		6		6													1					127	1	1	ModStr1g	ModStr1g									0
is22	22		1	32											94	16	1024		7		9													1					126	1	1	ModStr1f	ModStr1f									0
is23	23		1	32											97	15	1024		6		6													1					124	1	1	ModStr1g	ModStr1g									0
is24	24		1	32											85	11	1024		7		7													1					123	1	1	ModStr1f	ModStr1f									0
is25	25		1	32											45	40	1024		8		8													1																		0
is26	26			32													1024		8		8																															0
is27	27		1	32													1024		8		8																		52	2	2	ModStr4g	ModStr4g									0
is28	28		1	32													1024		8		8																		48	2	2	ModStr3v	ModStr3v									0
is29	29			32													1024																																			0
is30	30			32													1024																																			0
is31	31		1	32											17	10	1024		10	10	11	10																	71	1	1	ModStr1i	ModStr1i									0
is32	32		1	32											11	5	1024		8		9																		69	1	1	ModStr6a	ModStr6a									0
is33	33		1	32											13	7	1024		8		8																		70	1	1	ModStr6b	ModStr6b									0
is34	34		1	32											188	200	1024		6		6																		21	1	1	ModStr2u_ddr	ModStr2u_ddr		5	1	1	ModStrredall	ModStrredall			0
is35	35		1	32											397	340	1024		6		6																		21	1	1	ModStr2t	ModStr2t		5	1	1	ModStrredall	ModStrredall			0
is36	36		1	32											152	68	1024		8		12																		29	4	2	ModStr2u	ModStr2u									0
is37	37		1	32											164	68	1024		8		8																		41	4	2	ModStr1m	ModStr1m									0
is38	38		1	32											1091	409	1024		5		7																		46	4	1	ModStr5x	ModStr5x		7	4	2	Moditem2resmax	Moditem2resmax			0
is39	39		1	32											43	20	1024		8		8	50																	36	4	2	ModStr1j	ModStr1j		2	4	2	strAllResist	strAllResist			0
is40	40		1	32											584	256	1024		5		5																		42	4	1	ModStr5u	ModStr5u		7	4	2	Moditem2resmax	Moditem2resmax			0
is41	41		1	32											43	20	1024		8		8	50																	38	4	2	ModStr1l	ModStr1l		2	4	2	strAllResist	strAllResist			0
is42	42		1	32											584	256	1024		5		5																		43	4	1	ModStr5w	ModStr5w		7	4	2	Moditem2resmax	Moditem2resmax			0
is43	43		1	32											43	20	1024		8		8	50																	40	4	2	ModStr1k	ModStr1k		2	4	2	strAllResist	strAllResist			0
is44	44		1	32											584	256	1024		5		5																		44	4	1	ModStr5v	ModStr5v		7	4	2	Moditem2resmax	Moditem2resmax			0
is45	45		1	32											43	20	1024		8		8	50																	34	4	2	ModStr1n	ModStr1n		2	4	2	strAllResist	strAllResist			0
is46	46		1	32											526	256	1024		5		5																		45	4	1	ModStr5y	ModStr5y		7	4	2	Moditem2resmax	Moditem2resmax			0
is47	47		1	32													1024																																			0
is48	48		1	32											11	10	1024		8		8													1					102	1	1	ModStr1p	ModStr1p									0
is49	49		1	32											19	10	1024		8		9													1					101	1	1	ModStr1o	ModStr1o									0
is50	50		1	32											12	10	1024		6		6													1					99	1	1	ModStr1r	ModStr1r									0
is51	51		1	32											17	10	1024		9		10													1					98	1	1	ModStr1q	ModStr1q									0
is52	52		1	32											196	20	1024		6		8													1					104	1	1	strModMagicDamage	strModMagicDamage									0
is53	53		1	32											183	20	1024		7		9													1					103	1	1	strModMagicDamage	strModMagicDamage									0
is54	54		1	32											451	512	1024		6		8													1					96	1	1	ModStr1t	ModStr1t									0
is55	55		1	32											128	340	1024		8		9													1					95	1	1	ModStr1s	ModStr1s									0
is56	56		1	32											77	4	1024		8		8													1																		0
is57	57		1	32											12	28	1024		9		10													1					92	1	1	ModStr4i	ModStr4i									0
is58	58		1	32											11	34	1024		9		10													1					91	1	1	ModStr4h	ModStr4h									0
is59	59		1	32												4	1024		8		9													1																		0
is60	60		1	32											1044	341	1024		7		7													1					88	2	1	ModStr2z	ModStr2z									0
is61	61		1	32													1024																	1																		0
is62	62		1	32											1179	341	1024		7		7													1					89	2	1	ModStr2y	ModStr2y									0
is63	63		1	32													1024																	1																		0
is64	64		1	32													1024																	1																		0
is65	65		1	32													1024																	1																		0
is66	66			32													1024																	1																		0
is67	67	1	1	32		1											1024		7	30	7	30																														0
is68	68	1	1	32		1											1024		7	30	7	30												1																		0
is69	69	1	1	32		1											1024																																			0
is70	70		1	32													1024				20												1	1																		0
is71	71		1	32													1024		8	100	8	100											1																			0
is72	72		1	32													1024		8		9										1	is73	1																			0
is73	73		1	32											9	4	1024		8		8												1																			0
is74	74			32											451	410	1024		6	30	6	30																	56	1	2	ModStr2l	ModStr2w									0
is75	75		1	32											117	10	1024		7	20	7	20			13			is73											3	2	2	ModStr2i	ModStr2i									0
is76	76		1	32											32093	204	1024		6	10	6	10			11			is7											58	2	2	ModStr2g	ModStr2g									0
is77	77		1	32											56452	204	1024		6	10	6	10			11			is9											54	2	2	ModStr2h	ModStr2h									0
is78	78		1	32							1				112	128	1024		7		7														ev1	6			13	3	2	ModStr1v	ModStr1v									0
is79	79		1	32											187	34	1024		9	100	10	100																	10	2	1	ModStr1w	ModStr1w									0
is80	80		1	32											577	102	1024		8	100	8	100																	8	2	1	ModStr1x	ModStr1x									0
is81	81		1	32							1				105		1024		7		7													1	ev5	7	ev6	7	76	3		ModStr1y	ModStr1y									0
is82	82		1	32													1024		9	20	9	20																														0
is83	83		1	32	3						1				49523	1560	1024		3		3		3																150	13	1	ModStr3a	ModStr3a									0
is84	84			32													1024		3																																	0
is85	85		1	32											36015	519	1024		3		12	50																	11	4	1	Moditem2ExpG	Moditem2ExpG									0
is86	86		1	32							1				30	101	1024		3		7														ev9	28			16	1	1	ModitemHPaK	ModitemHPaK									0
is87	87			32											18957	203	1024		3		7																		8	2	2	ModitemRedVendP	ModitemRedVendP									0
is88	88		1	32													1024		1		1																															0
is89	89		1	32							1				15	51	1024		4	4	4	4																	6	1	1	ModStr3f	ModStr3f									0
is90	90		1	32							1				155		1024		5		24																															0
is91	91		1	32											26	-34	1024		8	100	8	100																		4	2	ModStr3h	ModStr3h									0
is92	92			32													1024		6	20	7																															0
is93	93	1	1	32											1042	156	1024		7	20	7	20												1					145	4	1	ModStr4m	ModStr4m									0
is94	94			32													1024		7	20	7	64			13			is92																								0
is95	95			32													1024		6	20																																0
is96	96	1	1	32											4083	156	1024		7	20	7	20																	148	4	1	ModStr4s	ModStr4s									0
is97	97		1	32	9						1			1	181	327	1024		7	20	6		9																81	28												0
is98	98	1		32	8						1				415	64	1024		6	20	1		8																													0
is99	99	1	1	32											1065	72	1024		7	20	7	20																	139	4	1	ModStr4p	ModStr4p									0
is100	100			32													1024		7	20																																0
is101	101			32													1024		6	20																																0
is102	102	1	1	32											1484	72	1024		7	20	7	20																	136	4	1	ModStr4y	ModStr4y									0
is103	103			32													1024		7	20																																0
is104	104			32													1024		6	20																																0
is105	105	1	1	32											3876	156	1024		7	20	7	20																	142	4	1	ModStr4v	ModStr4v									0
is106	106			32													1024		7	20																																0
is107	107		1	32	9						1			1	181	256	1024		14		3		9																81	27												0
is108	108			32							1				1987		1024		14		1													1	ev9	29			81	3		ModitemSMRIP	ModitemSMRIP									0
is109	109			32											159	33	1024		14		9																															0
is110	110		1	32											27	10	1024		8	20	8	20																	18	2	2	ModStr3r	ModStr3r									0
is111	111		1	32											94	100	1024		7	20	14	20												1					122	1	2	ModStr5b	ModStr5b									0
is112	112		1	32							1				55	10	1024		7	-1	7	-1												1	ev5	8	ev6	8	79	5	2	ModStr3u	ModStr3u									0
is113	113		1	32							1				332	1024	1024		7		7													1	ev5	9	ev6	9	80	12	2	ModStr6d	ModStr6d									0
is114	114		1	32							1				43	20	1024		6		6														ev1	13	ev2	13	11	2	1	ModStr3w	ModStr3w									0
is115	115		1	32											1088	1024	1024		1		1													1					119	3		ModStr3y	ModStr3y									0
is116	116		1	32											67	20	1024		7		7													1					118	20	1	ModStr5o	ModStr5o									0
is117	117		1	32											48	50	1024		7		7													1					81	3		ModStr4a	ModStr4a									0
is118	118		1	32											5096	988	1024		1		1																		19	3		ModStr4b	ModStr4b									0
is119	119		1	32											981	40	1024		9	20	9	20												1					117	2	1	ModStr4c	ModStr4c									0
is120	120		1	32											24	-20	1024		7	128	7	128												1					75	1	1	ModStr4d	ModStr4d									0
is121	121		1	32											19	12	1024		9	20	9	20												1					112	4	1	ModStr4e	ModStr4e									0
is122	122		1	32											13	12	1024		9	20	9	20												1					108	4	1	ModStr4f	ModStr4f									0
