ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
    																								3												0
    																								3												0
shie	shie	shld		1	1	rarm	larm								1					3	3	4		3		1									armo	0
tors	tors	armo		1	1	tors	tors								1					3	4	6		3		1									armo	0
gold	gold	misc														1								3												0
bowq	bowq	misl			1	rarm	larm		bow		1		1			1								3											misc	0
xboq	xboq	misl			1	rarm	larm		xbow		1		1			1								3											misc	0
play	play	misc														1	1							3											misc	0
herb	herb	misc																						3											misc	0
poti	poti	misc														1			1					3											misc	0
ring	ring	misc			1	rrin	lrin							1						1	1	1		3				5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
elix	elix	misc																	1					3											misc	0
amul	amul	misc			1	neck	neck							1						1	1	1		3				3	invamu1	invamu2	invamu3				misc	0
char	char	misc												1			1							3				3	invch1	invch4	invch7				misc	0
    																								3												0
boot	boot	armo		1	1	feet	feet								1					4	4	4		3		1									armo	0
glov	glov	armo		1	1	glov	glov								1					4	4	4		3		1									armo	0
    																								3												0
book	book	misc														1								3											misc	0
belt	belt	armo		1	1	belt	belt								1					2	2	2		3		1									armo	0
gem 	gem	sock														1		1						3											misc	0
torc	torc	misc			1											1								3											misc	0
scro	scro	misc														1			1					3											misc	0
    																								3												0
scep	scep	rod	pala	1	1	rarm	larm								1					3	5	6		1	pal										weap	0
wand	wand	rod	necr	1	1	rarm	larm								1					2	2	2		1	nec		nec								weap	0
staf	staf	rod		1	1	rarm	larm								1					5	6	6		1	sor										weap	0
bow 	bow	miss			1	rarm	larm	bowq							1					3	4	6	1	3											weap	0
axe 	axe	mele		1	1	rarm	larm								1					4	5	6		3											weap	0
club	club	blun		1	1	rarm	larm								1					3	4	6		3											weap	0
swor	swor	mele		1	1	rarm	larm								1					3	4	6		3											weap	0
hamm	hamm	blun		1	1	rarm	larm								1					3	4	6		3											weap	0
knif	knif	mele		1	1	rarm	larm								1					2	3	3		3											weap	0
spea	spea	mele		1	1	rarm	larm								1					3	4	6		3											weap	0
pole	pole	mele		1	1	rarm	larm								1					3	4	6		3											weap	0
xbow	xbow	miss		1	1	rarm	larm	xboq							1					3	4	6		3											weap	0
mace	mace	blun		1	1	rarm	larm								1					3	4	6		3											weap	0
helm	helm	armo		1	1	head	head								1					2	2	3		3		1									armo	0
tpot	tpot	thro			1	rarm	larm			1	1	1	1			1								3											misc	0
ques	ques																							3												0
body	body	misc														1								3		2									misc	0
key 	key	misc											1			1								3											misc	0
tkni	tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1									3											misc	0
taxe	taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1									3											misc	0
jave	jave	comb	spea	1	1	rarm	larm			1	1	1	1		1									3											misc	0
weap	weap														1								1	3												0
mele	mele	weap													1								1	3												0
miss	miss	weap													1									3												0
thro	thro	weap								1					1									3												0
comb	comb	mele	thro							1					1									3												0
armo	armo														1								1	3												0
shld	shld	armo	seco												1									3												0
misc	misc														1									3												0
sock	sock	misc																						3												0
seco	seco														1									3												0
rod 	rod	blun													1									3												0
misl	misl	misc																						3												0
blun	blun	mele													1									3												0
Expansion																																				
jewl	jewl	sock												1	1			1						3				6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0
clas	clas														1									3												0
amaz	amaz	clas													1									1			ama									0
barb	barb	clas													1									1			bar									0
necr	necr	clas													1									1			nec									0
pala	pala	clas													1									1			pal									0
sorc	sorc	clas													1									1			sor									0
assn	assn	clas													1									2			ass									0
drui	drui	clas													1									1			dru									0
h2h 	h2h	mele	assn	1	1	rarm	larm								1					2	3	3		2			ass								weap	0
orb 	orb	weap	sorc	1	1	rarm	larm								1					2	3	3		1	sor		sor								weap	0
head	head	shld	necr	1	1	rarm	larm								1					2	3	3		1	nec		nec								armo	0
ashd	ashd	shld	pala	1	1	rarm	larm								1					3	4	4		1			pal								armo	0
phlm	phlm	helm	barb	1	1	head	head								1					2	3	3		1	bar		bar								armo	0
pelt	pelt	helm	drui	1	1	head	head								1					2	3	3		1	dru		dru								armo	0
cloa	cloa	tors	assn	1	1	tors	tors								1									1	ass		ass								armo	0
rune	rune	sock														1								3											misc	0
circ	circ	helm		1	1	head	head								1					1	2	3		3		1									armo	0
hpot	hpot	poti														1			1					3											misc	0
mpot	mpot	poti														1			1					3											misc	0
rpot	rpot	hpot	mpot													1			1					3											misc	0
spot	spot	poti														1			1					3											misc	0
apot	apot	poti														1			1					3											misc	0
wpot	wpot	poti														1			1					3											misc	0
scha	scha	char												1			1							3				3	invch1	invch4	invch7				misc	0
mcha	mcha	char												1			1							3				3	invch2	invch5	invch8				misc	0
