Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword1	Ancient's Pledge	1		shld									RalOrtTal	r08	r09	r07				pr35		30	30	pr41		13	13	pr5		50	50	pr30		10	10													0
Runeword2	Armageddon												ThulIoNef																																			0
Runeword3	Authority												JahGulEth																																			0
Runeword4	The Beast	1		axe	scep	hamm							EthRalOrtTal	r30	r03	r22	r23	r17		pr56		40	40	pr125		9	9	pr29		240	270	pr7		25	40	pr243	sk247	5	13	pr265	sk228	3	3	pr265	sk224	3	3	0
Runeword5	beauty	1		tors									AmnElIthTirSol	r35	r33	r30	r34			pr41		30	50	pr5		200	300	pr77		45	45	pr59		88	88	pr268	sk1	6	363	pr104			3	pr7		40	40	0
Runeword6	Black	1		club	hamm	mace							AmnRalThul	r10	r16	r04				pr108		40	40	pr29		120	120	pr56		15	15	pr6		2	2	pr15		200	200	pr243	sk74	12	4					0
Runeword7	Blood	1		tors									TirRal	r35	r32	r31	r30			pr5		200	300	pr29		200	400	pr56		25	25	pr265	sk364	1	30	pr125	sk104	12	30	pr80		20	40					0
Runeword8	Bone	1		tors									HelLumFal	r12	r22	r22				pr127	sk84	15	10	pr128	sk68	15	10	pr69		2	2	pr11		100	150													0
Runeword9	Bramble	1		tors									OrtSol	r08	r27	r29	r05			pr80		50	50	pr0		300	300	pr125	sk103	15	21	pr253		13	13	pr247		25	50	pr39		100	100	pr243	sk246	33	13	0
Runeword10	Brand	1		miss									IthElEth	r31	r28	r23	r25			pr29		260	340	pr98		280	330	pr127	sk84	100	18	pr128	sk66	35	14	pr60		1	1	pr94		1	1	pr120		15	15	0
Runeword11	Breath of the Dying	1		weap									ShaelKoNef	r26	r15	r01	r02	r33	r05	pr56		60	60	pr99		125	125	pr66		12	15	pr94		1	1	pr258	sk92	50	20	pr29		350	400	pr251		30	30	0
Runeword12	Broken Promise												LumIoSolEth																																			0
Runeword13	Call to Arms	1		weap									NefTir	r11	r08	r23	r24	r27		pr56		40	40	pr29		200	240	pr104		1	1	pr265	sk155	2	6	pr265	sk149	1	6	pr265	sk146	1	4	pr53		12	12	0
Runeword14	Bound by Duty	1		tors									NefSolIth	r14	r22	r30	r24			pr41		50	50	pr5		70	70	pr98		200	200	pr99		100	100	pr66		8	8	pr104		2	2	pr7		20	20	0
Runeword15	Chance												ShaelEth																																			0
Runeword16	Chaos	1		h2h									DolEldHelIstTirVex	r19	r27	r22				pr111		15	15	pr29		240	290	pr136		216	471	pr265	sk151	1	1	pr56		35	35	pr127	sk64	9	11	pr127	sk38	11	9	0
Runeword17	Crescent Moon	1		axe	swor	pole							NefLum	r13	r22	r03				pr233		35	35	pr92		1	1	pr29		180	220	pr48		9	11	pr243	sk227	30	18	pr127	sk42	7	13	pr127	sk53	10	17	0
Runeword18	Darkness												TalEth																																			0
Runeword19	Daylight												TirEl																																			0
Runeword20	Death	1		swor	axe								AmnTir	r15	r01	r26	r09	r25		pr29		300	385	pr177	sk4			pr243	sk85	15	22	pr126	sk55	25	18	pr259	sk53	100	44	pr108		50	50	pr242		1	1	0
Runeword21	Deception												TalDolMal																																			0
