index	name	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
se0	Civerb's Vestments		13	pr31	0	15	15																													pr7	0	15	15	pr99	0	200	200	pr33	0	25	25																					0
se1	Hsarus' Defense		4	pr54	0	5	5																													pr28	0	5	5	pr115	0	1	1	pr33	0	25	25																					0
se2	Cleglaw's Brace		6	pr0	0	50	50																													pr0	0	50	50	pr65	0	6	6	pr108	0	35	35	pr56	0	20	20																	0
se3	Iratha's Finery		21	pr0	0	50	50					pr77	0	20	20																					pr41	0	20	20	pr32	0	10	10	pr36	0	10	10	pr34	0	10	10	pr40	0	10	10	pr8	0	15	15									0
se4	Isenhart's Armory		11	pr7	0	10	10					pr8	0	10	10																					pr66	0	5	5	pr41	0	10	10	pr96	0	35	35	pr16	0	30	30	pr77	0	20	20													0
se5	Vidala's Rig		19	pr15	0	75	75					pr8	0	15	15																					pr137	50	15	20	pr106	0	1	1	pr118	0	50	50	pr7	0	10	10																	0
se6	Milabrega's Regalia		23	pr15	0	75	75					pr15	0	125	125																					pr66	0	8	8	pr68	0	2	2	pr65	0	10	10	pr39	0	15	15																	0
se7	Cathan's Traps		15	pr134	0	15	20					pr33	0	25	25																					pr15	0	60	60	pr6	0	3	3	pr41	0	25	25	pr85	0	10	10	pr11	0	20	20													0
se8	Tancred's Battlegear		27	pr135	0	15	15					pr66	0	5	5																					pr58	0	75	75	pr41	0	10	10	pr114	0	35	35	pr65	0	5	5																	0
se9	Sigon's Complete Steel		9	pr66	0	10	10					pr0	0	100	100																					pr31	0	12	12	pr54	0	12	12	pr3	0	7	7	pr21	0	24	24	pr11	0	20	20													0
se10	Infernal Tools		7	pr138	80	25	25					pr11	0	10	10																					pr96	0	20	20	pr69	0	1	1	pr107	0	20	20	pr65	0	6	6																	0
se11	Berserker's Garb		5	pr13	0	50	50																													pr88	0	75	75	pr24	0	16	16	pr25	0	32	32	pr26	0	75	75	pr0	0	75	75													0
se12	Death's Disguise		8	pr66	0	8	8																													pr96	0	40	40	pr27	0	10	10	pr41	0	25	25																					0
se13	Angelical Raiment		17	pr8	0	10	10					pr11	0	50	50																					pr41	0	25	25	pr95	0	1	1	pr59	0	40	40	pr62	0	8	8																	0
se14	Arctic Gear		3	pr7	0	5	5					pr13	0	50	50																					pr17	0	6	6	pr18	0	14	14	pr19	0	100	100	pr115	0	1	1																	0
se15	Arcanna's Tricks		20	pr11	0	25	25					pr13	0	50	50																					pr87	0	20	20	pr65	0	5	5	pr11	0	25	25																					0
Expansion																																																																				
se16	Natalya's Odium	100	22	pr6	0	15	15					pr0	0	200	200					pr39	0	20	20													pr41	0	50	50	pr122	0	3	3	pr0	0	150	150	pr66	0	14	14	pr65	0	14	14	pr4	0	30	30	pr262	0	1	1					0
se17	Aldur's Watchtower	100	29	pr96	0	150	150					pr59	0	50	50					pr66	0	10	10													pr41	0	50	50	pr121	0	3	3	pr0	0	150	150	pr65	0	10	10	pr11	0	150	150	pr29	0	350	350	pr266	175	1	1					0
se18	Immortal King	100	37	pr15	0	50	50					pr15	0	75	75					pr15	0	125	125					pr15	0	200	200					pr41	0	50	50	pr71	0	3	3	pr13	0	150	150	pr6	0	10	10	pr266	175	1	1													0
se19	Tal Rasha's Wrappings	100	26	pr53	0	10	10					pr59	0	65	65					pr81	0	25	25													pr41	0	50	50	pr70	0	3	3	pr0	0	150	150	pr13	0	150	150	pr1	0	50	50	pr266	175	1	1									0
se20	Griswold's Legacy	100	44	pr7	0	20	20					pr8	0	30	30																					pr41	0	50	50	pr68	0	3	3	pr15	0	200	200	pr13	0	150	150	pr266	175	1	1	pr81	0	30	30									0
