index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
The Gnasher		1		5	1	7	5	hax	Hand Axe			5	5000	dyel			invhaxu	so0		so0	pr7		8	8	pr107		50	50	pr108		20	20	pr29		60	70																																	0
Deathspade		1		5	1	12	9	axe	Axe			5	5000	dgld			invaxeu	so0		so0	pr91		1	1	pr27		8	8	pr96		15	15	pr110		4	4	pr29		60	70																													0
Bladebone		1		5	1	20	15	2ax	Double Axe			5	5000	lgry	lgry			so0		so0	pr99		100	100	pr101		40	40	pr56		20	20	pr0		20	20	pr20		8	8	pr21		12	12	pr29		30	50																					0
Mindrend		1		5	1	28	21	mpi	Military Pick			5	5000	lgrn			invmpiu	so0		so0	pr91		2	2	pr62		20	20	pr22		1	1	pr23		12	15	pr15		50	100	pr29		60	100	pr107		15	15																					0
Rakescar		1		5	1	36	27	wax	War Axe			5	5000	dgry	dgry			so0		so0	pr24		128	128	pr25		128	128	pr26		75	75	pr15		50	50	pr39		50	50	pr29		75	150	pr56		30	30																					0
Fechmars Axe		1		5	1	11	8	lax	Large Axe			5	5000	lpur	lpur			so0		so0	pr29		70	90	pr106		3	3	pr35		50	50	pr73		2	2																																	0
Goreshovel		1		5	1	19	14	bax	Broad Axe			5	5000	dpur	dpur			so0		so0	pr57		30	30	pr7		25	25	pr107		60	60	pr29		40	50	pr28		9	9																													0
The Chieftan		1		5	1	26	19	btx	Battle Axe			5	5000	oran			invbtxu	so0		so0	pr29		100	100	pr41		10	20	pr110		6	6	pr56		20	20	pr135		1	40																													0
Brainhew		1		5	1	34	25	gax	Great Axe			5	5000	whit			invgaxu	so0		so0	pr27		14	14	pr11		25	25	pr73		4	4	pr65		10	13	pr29		50	80	pr134		15	35																									0
The Humongous		1		5	1	39	29	gix	Giant Axe			5	5000	blac	blac			so0		so0	pr7		20	30	pr27		8	8	pr28		15	25	pr108		33	33	pr75		20	20	pr29		80	120																									0
Iros Torch		1		5	1	7	5	wnd	Wand			5	5000	cred			invwndu	so0		so0	pr69		1	1	pr66		6	6	pr134		5	9	pr73		3	3	pr10		10	10	pr62		5	5																									0
Maelstromwrath		1		5	1	19	14	ywn	Yew Wand			5	5000	dblu	dblu			so0		so0	pr22		1	1	pr23		9	9	pr33		40	40	pr11		13	13	pr86		30	30	pr123	74	1	3	pr123	77	1	3	pr123	66	1	3	pr123	76	1	3													0
Gravenspine		1		5	1	27	20	bwn	Bone Wand			5	5000	cgrn			invbwnu	so0		so0	pr7		10	10	pr8		10	10	pr17		4	4	pr18		8	8	pr19		75	75	pr65		5	5	pr69		2	2	pr11		25	50																	0
Umes Lament		1		5	1	38	28	gwn	Grim Wand			5	5000	lblu	lblu			so0		so0	pr69		2	2	pr11		40	40	pr86		20	20	pr90		64	64	pr123	77	3	3	pr123	87	2	2																									0
Felloak		1		5	1	4	3	clb	Club			5	5000	lgry			invclbu	so0		so0	pr33		60	60	pr31		20	20	pr60		1	1	pr20		6	6	pr21		8	8	pr29		70	80																									0
Knell Striker		1		5	1	7	5	scp	Scepter			5	5000	dred	dred			so0		so0	pr108		25	25	pr31		20	20	pr39		20	20	pr11		15	15	pr15		35	35	pr29		70	80																									0
Rusthandle		1		5	1	23	17	gsc	Grand Scepter			5	5000	lgld	lgld			so0		so0	pr68		1	1	pr140		3	7	pr6		1	1	pr66		8	8	pr29		50	60	pr99		50	60	pr123	111	1	3	pr123	103	3	3																	0
Stormeye		1		5	1	31	23	wsp	War Scepter			5	5000	cred	cred			so0		so0	pr135		1	6	pr137	75	3	5	pr53		10	10	pr29		80	120	pr123	110	3	5	pr123	118	3	3	pr123	121	1	1																					0
Stoutnail		1		5	1	7	5	spc	Spiked Club			5	5000	dgry			invspcu	so0		so0	pr54		3	10	pr29		100	100	pr9		7	7	pr6		2	2																																	0
Crushflange		1		5	1	12	9	mac	Mace			5	5000	blac	blac			so0		so0	pr7		15	15	pr60		1	1	pr73		2	2	pr31		50	50	pr29		50	60	pr108		33	33																									0
Bloodrise		1		5	1	20	15	mst	Morning Star			5	5000	lblu			invmstu	so0		so0	pr29		120	120	pr96		50	50	pr107		25	25	pr73		2	2	pr55		10	10	pr123	96	3	3	pr66		5	5																					0
The Generals Tan Do Li Ga		1		5	1	28	21	fla	Flail			5	5000	dblu	dblu			so0		so0	pr27		1	1	pr28		20	20	pr114		50	50	pr0		25	25	pr65		5	5	pr29		50	60	pr56		20	20																					0
Ironstone		1		5	1	36	27	whm	War Hammer			5	5000	cblu	cblu			so0		so0	pr15		100	150	pr29		100	150	pr22		1	1	pr23		10	10	pr7		10	10			-5	-5																									0
