name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
hax 	axe		hax	hax	hax			3	1	3	6										100				28		3		170	4510			hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2				so244	12	so244			5	0					35	7			3		1		1	1	1	1			255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			2	2		axe	2ax	1	
axe 	axe		axe	axe	axe			4	1	4	11								1	10	100		32		24		7		403	8821			axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4				so246	12	so246			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			2	2		2ax	mpi	1	
2ax 	axe		2ax	axe	2ax			4	1	5	13								1	10	100		43		24		13		873	20349			axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5				so246	12	so246			5	0						7			3					255			1	1	30					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		mpi	wax	1	
mpi 	axe		mpi	axe	mpi			4	1	7	11								1	-10	100		49	33	26		19		1421	38999			axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6				so246	12	so246			5	0						7			3					255					255					255		1		1	20					255					255	1	1		1	20					255					255					255					255					255			1	1	20					255					255					255					255			2	2		wax	xxx	1	
wax 	axe		wax	hax	wax			4	1	10	18								2		100		67		26		25		2123	68075			hax	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	3	20					255	1	1	1	1	20					255					255			2	2		xxx	xxx	1	
lax 	axe		lax	lax	lax			4	1				1	6	13				1	-10	100		35		30		6		354	7624			lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4				so229	12	so229			5	0						7			3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			2	2		btx	gax	1	
bax 	axe		bax	lax	bax			4	1				1	10	18				1		100		48		35		12		806	18172			lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5				so229	12	so229			5	0						7			3					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			2	2		gax	gix	1	
btx 	axe		btx	btx	btx			4	1				1	12	32				1	10	100		54		40		17		1262	32454			lax	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5				so229	12	so229			5	0						7			3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255			5	2		gix	xxx	1	
gax 	axe		gax	btx	gax			4	1				1	9	30				2	-10	100		63	39	50		23		1916	58068			lax	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
gix 	axe		gix	gix	gix			4	1				1	22	45				3	10	100		70		50		27		2410	81070			lax	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255		1			20					255				1	1					255					255					255	1	1	2	2	20					255	1	1	1	1	20					255					255			2	2		xxx	xxx	1	
wnd 	wand		wnd	wnd	wnd			1	1	2	4										100				15		2		205	3910	1		wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	1		magically charged		so247	12	so247			5	0						7			5					255					255	4	6	7	9	1					255					255			1	2	1					255					255					1					255					255					255					20					255					255					255					255			5	8		ywn	bwn	1	
